N,종목명,현재가,전일비,등락률,액면가,거래량,매도호가,주당순이익,보통주배당금
1.0,삼성전자,68000.0,1800.0,+2.72%,100.0,10225624.0,68100.0,6625.0,1444.0
2.0,LG에너지솔루션,552000.0,10000.0,-1.78%,500.0,57077.0,555000.0,4450.0,
3.0,SK하이닉스,97500.0,3900.0,+4.17%,5000.0,2694487.0,97700.0,-3200.0,1200.0
4.0,삼성바이오로직스,779000.0,1000.0,-0.13%,2500.0,13744.0,780000.0,11411.0,
5.0,LG화학,699000.0,10000.0,-1.41%,5000.0,68210.0,701000.0,20840.0,10000.0
6.0,삼성전자우,57700.0,1400.0,+2.49%,100.0,827168.0,57900.0,6625.0,
7.0,삼성SDI,689000.0,3000.0,-0.43%,5000.0,72072.0,694000.0,27736.0,1030.0
8.0,현대차,207000.0,500.0,+0.24%,5000.0,218449.0,207000.0,26592.0,7000.0
9.0,기아,88800.0,1100.0,-1.22%,5000.0,463568.0,89300.0,13345.0,3500.0
10.0,NAVER,214500.0,2000.0,+0.94%,100.0,384579.0,215500.0,3926.0,914.0
11.0,POSCO홀딩스,366500.0,6500.0,-1.74%,5000.0,247135.0,368500.0,36457.0,12000.0
12.0,카카오,57700.0,500.0,+0.87%,100.0,668515.0,58000.0,3037.0,60.0
13.0,셀트리온,172600.0,500.0,+0.29%,1000.0,115796.0,172500.0,3996.0,399.0
14.0,포스코퓨처엠,308000.0,10000.0,-3.14%,500.0,350302.0,309500.0,1527.0,300.0
15.0,현대모비스,226500.0,2500.0,-1.09%,5000.0,72658.0,228000.0,26301.0,4000.0
16.0,삼성물산,111200.0,900.0,+0.82%,100.0,80031.0,111500.0,10843.0,2300.0
17.0,KB금융,49350.0,150.0,-0.30%,5000.0,323478.0,49500.0,10685.0,2950.0
18.0,LG전자,113100.0,100.0,+0.09%,5000.0,172116.0,113700.0,6616.0,700.0
19.0,신한지주,34950.0,50.0,+0.14%,5000.0,350901.0,35100.0,8741.0,2065.0
20.0,SK이노베이션,178300.0,4100.0,-2.25%,5000.0,193522.0,179400.0,16743.0,0.0
21.0,LG,89800.0,400.0,+0.45%,5000.0,50959.0,90200.0,12347.0,3000.0
22.0,삼성생명,67200.0,600.0,+0.90%,500.0,72996.0,67900.0,7917.0,3000.0
23.0,하나금융지주,41850.0,0.0,0.00%,5000.0,184068.0,42000.0,11949.0,3350.0
24.0,SK,167700.0,700.0,+0.42%,200.0,63040.0,168000.0,14705.0,5000.0
25.0,카카오뱅크,24800.0,150.0,-0.60%,5000.0,335847.0,24950.0,553.0,80.0
26.0,한국전력,18320.0,160.0,+0.88%,5000.0,418599.0,18370.0,-38112.0,
27.0,하이브,279000.0,7000.0,-2.45%,500.0,121997.0,279500.0,1265.0,0.0
28.0,KT&G,84000.0,100.0,+0.12%,5000.0,66163.0,84200.0,7399.0,5000.0
